date,open,high,low,close,volumn,amount,post_close
2007-7-19,2971.355,2994.1020000000003,2966.175,2979.4240000000004,2809074,3601839104,2984.44
2007-7-20,2972.6820000000002,3000.967,2972.6820000000002,2998.7940000000003,1852548,2617006592,3039.969
2007-7-23,3133.28,3188.857,3133.28,3182.8320000000003,9863998,12001722368,3182.438
2007-7-24,3242.2,3248.119,3210.0490000000004,3218.8140000000003,6791523,8602212352,3239.6220000000003
2007-7-25,3229.288,3268.867,3229.288,3265.844,4223380,5811210240,3268.2209999999995
2007-7-26,3323.3740000000003,3331.993,3309.117,3310.5490000000004,5850299,8365173248,3308.033
2007-7-27,3285.6820000000002,3286.2729999999997,3249.623,3275.728,5517455,7837656576,3294.185
2007-7-30,3294.6820000000002,3323.113,3292.408,3311.9970000000003,5331228,7704869376,3343.7940000000003
2007-7-31,3347.6209999999996,3370.643,3335.458,3355.027,5168384,7551854080,3378.704
2007-8-1,3408.526,3420.7729999999997,3393.18,3409.587,5346003,6936961536,3380.962
2007-8-2,3298.6279999999997,3355.619,3298.6279999999997,3353.312,4231265,6340988416,3336.065
2007-8-3,3390.013,3435.512,3390.013,3422.8140000000003,5615882,9617850368,3449.3520000000003
2007-8-6,3552.0029999999997,3568.027,3539.3059999999996,3556.2270000000003,7574903,12116688896,3606.633
2007-8-7,3606.592,3607.5820000000003,3565.941,3565.941,6499427,11548712960,3613.472
2007-8-8,3578.239,3647.7929999999997,3540.401,3634.9990000000003,9154738,11198542848,3609.59
2007-8-9,3598.2090000000003,3647.6540000000005,3596.36,3647.6540000000005,7857425,8560335360,3676.217
2007-8-10,3700.9240000000004,3712.595,3670.428,3680.34,6909080,9803545600,3665.752
2007-8-13,3717.5290000000005,3755.007,3710.386,3728.7929999999997,9366236,12751812608,3782.283
2007-8-14,3740.013,3757.991,3719.9359999999997,3740.313,6840706,9555069952,3732.261
2007-8-15,3782.623,3823.9390000000003,3782.2290000000003,3817.5040000000004,4868809,7622912000,3738.6
2007-8-16,3775.363,3778.364,3727.4770000000003,3740.803,5222221,7480320512,3713.054
2007-8-17,3674.4190000000003,3735.312,3658.313,3733.309,4169064,6132711936,3683.4790000000003
2007-8-20,3718.195,3746.804,3709.5840000000003,3746.45,6049511,9408933888,3801.9440000000004
2007-8-21,3851.3790000000004,3879.0570000000002,3849.928,3874.473,8083994,11189945344,3874.9640000000004
2007-8-22,3839.1020000000003,3955.172,3830.4990000000003,3953.902,6331846,11095193600,3960.012
2007-8-23,3962.636,3979.075,3946.008,3949.85,4290272,7143405568,3991.882
2007-8-24,4037.176,4066.0490000000004,4032.3140000000003,4058.6409999999996,5868969,8443377664,4089.7490000000003
2007-8-27,4128.737,4176.666,4128.737,4176.057,5588837,8933937152,4168.670999999999
2007-8-28,4119.237,4119.237,4058.509,4063.022,5810000,10609122304,4108.602
2007-8-29,4113.903,4135.2429999999995,4087.361,4110.183,5424954,9357530112,4079.875
2007-8-30,4104.508,4147.831,4104.508,4121.326,4078756,7468815872,4105.859
2007-8-31,4118.815,4119.411,4071.219,4086.303,4072043,7577973760,4109.1
2007-9-3,4176.8640000000005,4231.325,4176.8640000000005,4231.325,5463768,9144159232,4240.725
2007-9-4,4226.935,4245.679,4205.242,4226.213,6574535,10919967744,4208.352
2007-9-5,4162.573,4191.832,4160.67,4183.957,4760054,7438979584,4144.587
2007-9-6,4166.909000000001,4192.412,4158.923,4162.008,4478426,7409726464,4233.5
2007-9-7,4186.438,4205.363,4137.788,4154.264,7331224,11034040320,4182.954000000001
2007-9-10,4052.5490000000004,4075.664,4022.4120000000003,4058.01,5024795,8641728512,4095.453
2007-9-11,4182.715999999999,4199.27,4156.602,4195.789000000001,4576706,7794370048,4147.839
2007-9-12,3977.025,4055.6420000000003,3962.183,3995.38,4620209,7854053376,3973.849
2007-9-13,4056.185,4077.2329999999997,4043.835,4075.551,3479636,6584498688,4085.3990000000003
2007-9-14,4148.081,4159.812,4115.434,4117.82,3459985,6543015424,4136.139
2007-9-17,4170.95,4231.105,4170.95,4219.354,6250863,10729625600,4200.935
2007-9-18,4261.446,4269.585999999999,4184.505,4201.5779999999995,6169258,10024055808,4242.309
2007-9-19,4212.186,4226.365,4187.041,4187.041,3886347,6907116032,4145.361
2007-9-20,4171.6720000000005,4235.6720000000005,4171.6720000000005,4230.78,3600557,7157198336,4193.733
2007-9-21,4227.329000000001,4231.753,4175.248,4178.241,3826205,6915760128,4180.106
2007-9-24,4201.416,4205.774,4145.23,4153.082,3914566,7309023744,4208.54
2007-9-25,4246.898,4252.02,4225.7609999999995,4238.342000000001,3311822,6590635008,4203.084
2007-9-26,4177.27,4234.026,4177.27,4215.904,2231876,4649167360,4203.777
2007-9-27,4142.066,4178.665,4130.403,4131.389,2081196,3965898240,4170.448
2007-9-28,4229.598,4262.779,4229.598,4255.787,3178538,5807380480,4274.544
2007-10-8,4407.5,4416.259,4347.758,4370.117,6995151,10406301696,4433.912
2007-10-9,4393.472,4423.775,4352.62,4423.029,5448865,8242912256,4399.231
2007-10-10,4444.667,4476.113,4444.667,4469.656,4593421,7393141760,4500.469
2007-10-11,4458.194,4478.4220000000005,4445.224,4445.95,4950793,8706622464,4500.409000000001
2007-10-12,4601.985,4631.455,4581.746,4602.214,6626991,12669733888,4487.4490000000005
2007-10-15,4606.484,4651.622,4576.5109999999995,4626.4929999999995,5574139,11534020608,4657.219
2007-10-16,4726.083,4772.1720000000005,4726.083,4755.177,11068753,17356793856,4730.138
2007-10-17,4713.752,4728.771,4650.346,4691.252,5263125,9528318976,4720.543
2007-10-18,4676.519,4684.104,4589.9529999999995,4589.9529999999995,3760777,7777431040,4541.827
2007-10-19,4545.633,4592.997,4480.134,4480.276,3487180,6955522560,4523.329000000001
2007-10-22,4441.531,4452.253,4374.121,4403.912,3256274,5531489792,4474.589
2007-10-23,4388.24,4430.417,4378.206,4378.206,2678660,5411148288,4382.519
2007-10-24,4496.505999999999,4516.061,4487.705,4516.061,4495624,8237755392,4536.034000000001
2007-10-25,4511.514,4511.514,4464.2029999999995,4499.47,3358137,6522155520,4407.585999999999
2007-10-26,4321.681,4399.8009999999995,4313.8009999999995,4399.8009999999995,2248036,4294526464,4359.288
2007-10-29,4453.327,4484.059,4452.353,4482.378,3977522,6278467072,4526.308
